,Team 1,Team 1 Label,num boys Sports,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Private School,MV,Total Games,Total Wins,Win Percentage
3,Academy of Holy Angels,4,7.0,,,,,,,,645.0,515.0,0.0,1,1,1.0,-0.5769230769230769,30,9,30.0
34,Bethlehem Academy,35,5.0,0.0,1.6,6.6,2.5,87.7,0.0,1.6,244.0,152.0,12.45,1,1,1.0,-7.454545454545454,25,9,36.0
43,Breck,44,7.0,1.2,6.7,3.4,8.8,68.7,0.0,11.1,1120.0,484.0,11.46,1,1,1.0,0.0,29,10,34.5
82,Cotter,83,5.0,0.3,11.7,2.7,0.5,79.5,0.0,5.3,376.0,245.0,14.52,1,1,1.0,-16.0,21,3,14.3
92,DeLaSalle,93,5.0,0.7,5.0,14.2,18.0,45.2,0.8,16.2,728.0,728.0,16.74,1,1,1.0,17.266666666666666,34,23,67.60000000000001
122,Fourth Baptist Christian,123,4.0,0.0,6.6,4.0,6.6,74.5,0.0,8.4,299.0,77.0,14.86,1,1,1.0,-9.4,12,4,33.300000000000004
123,First Baptist,124,4.0,0.0,7.1,11.6,20.2,57.1,0.0,4.0,233.0,57.0,10.0,1,1,1.0,11.185185185185183,29,18,62.1
140,Heritage Christian Academy,141,6.0,,,,,,,,387.0,113.0,10.06,1,1,1.0,-9.454545454545457,22,8,36.4
154,Hill-Murray,155,7.0,0.2,5.9,6.0,3.6,80.5,0.0,3.8,866.0,641.0,12.96,1,1,1.0,-21.62962962962963,28,3,10.7
155,Hillcrest Lutheran Academy,156,5.0,0.0,7.1,1.1,4.4,87.4,0.0,0.0,182.0,143.0,13.0,1,1,1.0,9.25,28,21,75.0
162,Holy Family Catholic,163,7.0,0.3,0.3,6.7,1.0,90.7,0.5,0.5,386.0,386.0,13.26,1,1,1.0,4.115384615384615,29,14,48.3
166,Hope Academy,167,4.0,1.6,1.6,25.4,37.8,23.8,0.0,9.6,550.0,105.0,13.92,1,1,1.0,-1.5862068965517242,36,15,41.7
173,International School of Minnesota/Eagle Ridge Academy,174,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,206.0,90.0,4.2,1,1,1.0,4.142857142857143,21,4,19.0
195,Lake Region Christian,196,4.0,0.6,3.9,7.8,2.2,84.9,0.6,0.0,224.0,36.0,13.36,1,1,1.0,18.428571428571427,8,6,75.0
200,Lakeview Christian Academy,201,6.0,0.0,3.7,0.7,5.9,80.0,0.0,9.6,153.0,49.0,6.14,1,1,1.0,-11.833333333333334,26,9,34.599999999999994
221,Loyola,222,5.0,0.0,2.2,3.4,1.9,80.8,0.0,11.6,487.0,123.0,9.18,1,1,1.0,13.11111111111111,27,19,70.39999999999999
228,Maranatha Christian Academy,229,5.0,0.0,5.4,3.5,21.9,60.4,0.3,8.5,683.0,239.0,12.1,1,1,1.0,15.9,35,24,68.60000000000001
234,Mayer Lutheran,235,5.0,0.0,1.1,1.7,0.6,96.7,0.0,0.0,181.0,181.0,12.4,1,1,1.0,4.25925925925926,30,14,46.7
248,Minnehaha Academy,249,7.0,0.5,2.7,5.5,13.9,67.6,0.0,9.8,810.0,369.0,10.74,1,1,1.0,2.576923076923077,31,16,51.6
250,Minnesota Valley Lutheran,251,5.0,0.9,3.2,1.8,3.7,90.3,0.0,0.0,217.0,217.0,13.65,1,1,1.0,-7.0,28,6,21.4
261,Mounds Park Academy,262,5.0,0.2,5.9,6.0,3.6,80.5,0.0,3.8,866.0,641.0,12.96,1,1,1.0,-17.181818181818183,29,3,10.3
273,New Ulm Cathedral,274,6.0,0.0,0.5,0.0,0.0,95.3,0.0,4.2,191.0,111.0,12.73,1,1,1.0,2.571428571428572,28,18,64.3
