,Team 1,Team 1 Label,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Free and Reduced Lunch,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Expenditures/Pupil,MV,Total Games,Total Wins,Win Percentage
0,Anoka,1,0.3,5.2,5.3,11.1,71.2,0.1,6.8,2252.0,2252.0,0.239,18.44,0,0,16968,-10.52,27,5,18.5
27,Apple Valley,2,0.9,4.5,21.4,25.3,40.0,0.1,7.9,1827.0,1827.0,0.307,18.02,0,0,14871,-11.074074074074074,28,6,21.4
55,Adrian/Ellsworth,3,0.0,1.7,13.8,3.3,78.5,0.0,2.8,181.0,181.0,0.243,13.93,0,0,14238,-15.842105263157896,19,3,15.8
74,Academy of Holy Angels,4,,,,,,,,645.0,515.0,,0.0,1,1,,-0.5769230769230769,30,9,30.0
104,Academy for Sciences & Agriculture,5,0.0,5.9,12.6,13.4,63.0,0.0,5.0,238.0,188.0,0.475,14.36,1,0,16849,-21.8,16,3,18.8
120,Adrian,6,0.0,1.7,13.8,3.3,78.5,0.0,2.8,181.0,181.0,0.243,13.93,0,0,14238,-29.833333333333332,20,0,0.0
140,Apollo,7,0.6,4.7,10.5,38.1,39.4,0.0,6.6,1301.0,1301.0,0.487,21.39,0,0,17512,-11.444444444444445,29,7,24.099999999999998
169,Ada-Borup/Norman County West,8,,,,,,,,,,,,0,0,,4.611111111111111,18,9,50.0
187,Andover,9,0.4,3.2,4.5,4.5,82.1,0.1,5.2,1739.0,1739.0,0.115,21.34,0,0,16968,6.548387096774194,32,20,62.5
219,Alden-Conger,10,0.0,0.0,3.7,0.0,94.5,0.0,1.8,217.0,137.0,0.198,15.43,0,0,16060,-25.423076923076923,27,3,11.1
246,Albert Lea,11,0.0,6.2,34.8,2.7,52.7,0.0,3.6,112.0,90.0,0.527,20.9,0,0,16947,-32.76,26,1,3.8
272,Aitkin,12,0.7,0.2,1.8,0.7,93.0,0.0,3.5,543.0,368.0,0.25,13.5,0,0,14404,-5.666666666666667,28,11,39.300000000000004
300,Albany,13,0.0,0.6,2.5,0.0,94.8,0.0,2.1,517.0,517.0,0.103,22.27,0,0,14940,11.5,30,24,80.0
330,Ada-Borup,14,1.9,0.0,13.8,0.3,75.9,0.0,8.1,369.0,213.0,0.328,13.79,0,0,,3.6666666666666665,24,6,25.0
354,Annandale,15,0.0,0.8,3.5,0.2,92.1,0.2,3.2,596.0,596.0,0.077,16.93,0,0,13674,18.13888888888889,38,34,89.5
392,Alexandria,16,0.2,1.3,3.5,1.3,90.7,0.0,3.0,1303.0,1303.0,0.154,18.71,0,0,17070,14.5,28,23,82.1
420,Avail Academy,17,,,,,,,,,,,,0,0,,14.12,29,19,65.5
449,Atwater-Cosmos-Grove City,18,0.2,0.7,6.9,0.2,88.4,0.0,3.5,404.0,256.0,0.428,15.24,0,0,26016,-7.538461538461538,30,9,30.0
479,Badger/Greenbush-Middle River,19,0.0,1.8,1.8,0.9,93.8,0.0,1.8,113.0,77.0,0.23,12.28,0,0,17748,-3.4444444444444446,18,5,27.800000000000004
497,Ashby,20,1.6,1.6,0.0,0.0,96.1,0.0,0.8,129.0,87.0,0.217,13.61,0,0,12818,14.851851851851851,34,23,67.60000000000001
531,B O L D,21,0.0,0.5,12.6,0.0,86.0,0.0,0.9,214.0,209.0,0.252,9.02,0,0,14330,5.5,31,21,67.7
562,Austin,22,0.2,9.4,27.7,8.0,50.1,1.8,2.7,1273.0,1272.0,0.403,34.7,0,0,16555,6.5,34,17,50.0
596,Battle Lake,23,0.0,0.0,5.8,0.0,89.5,0.0,4.7,191.0,117.0,0.251,16.64,0,0,13789,0.75,30,14,46.7
626,Bagley,24,50.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,15558,-34.76923076923077,31,1,3.2
657,Barnum,25,0.0,0.0,3.5,0.5,84.6,0.0,11.4,369.0,249.0,0.268,17.11,0,0,12647,11.958333333333334,30,17,56.699999999999996
687,Benson,26,0.0,1.3,8.8,1.6,85.6,0.0,2.7,375.0,200.0,0.357,20.17,0,0,32015,-18.56,29,4,13.8
716,Bemidji,27,17.9,1.1,2.3,1.4,74.4,0.1,2.7,1388.0,1388.0,0.25,19.61,0,0,15735,5.956521739130435,26,15,57.699999999999996
742,Belle Plaine,28,0.2,1.4,6.4,1.2,85.8,0.0,4.9,485.0,485.0,0.105,24.73,0,0,12063,-3.8666666666666667,34,15,44.1
776,Benilde-St. Margaret's,29,,,,,,,,,,,,0,0,,4.148148148148148,29,17,58.599999999999994
805,Becker,30,0.3,0.7,2.7,1.6,92.5,0.0,2.2,861.0,861.0,0.11,17.36,0,0,13520,4.071428571428571,28,17,60.699999999999996
833,Belgrade-Brooten-Elrosa,31,0.3,0.3,7.8,0.0,91.3,0.0,0.3,345.0,213.0,0.229,16.6,0,0,31601,17.742857142857144,35,29,82.89999999999999
868,Barnesville,32,0.3,0.0,3.1,0.8,92.9,0.0,3.1,392.0,254.0,0.107,16.9,0,0,30491,4.814814814814815,31,16,51.6
899,Bertha-Hewitt,33,0.0,0.0,1.7,1.2,91.2,0.0,5.8,240.0,162.0,0.388,13.79,0,0,19405,-10.607142857142858,30,5,16.7
929,Bigfork,34,14.4,0.0,0.8,0.0,84.1,0.0,0.8,132.0,91.0,0.379,11.99,0,0,19733,-17.346153846153847,27,6,22.2
956,Bethlehem Academy,35,0.0,1.6,6.6,2.5,87.7,0.0,1.6,244.0,152.0,,12.45,1,1,,-7.454545454545454,25,9,36.0
981,Big Lake,36,0.3,1.8,7.0,3.9,81.2,0.1,5.7,876.0,876.0,0.147,34.05,0,0,16517,0.6071428571428571,29,14,48.3
1010,Blaine,37,0.4,10.3,7.3,12.5,62.1,0.0,7.3,2981.0,2981.0,0.247,19.82,0,0,16968,-5.791666666666667,26,6,23.1
1036,Blake,38,,,,,,,,,,,,0,0,,7.538461538461538,32,19,59.4
1068,Blackduck,39,8.9,0.3,3.0,0.7,77.5,0.0,9.6,302.0,191.0,0.437,18.53,0,0,16132,12.615384615384615,29,17,58.599999999999994
1097,Blue Earth,40,0.2,0.0,15.6,0.5,81.2,0.0,2.4,410.0,331.0,0.344,18.23,0,0,13891,-3.0,27,10,37.0
1124,Blooming Prairie,41,0.0,0.0,7.5,0.6,90.6,0.0,1.4,361.0,246.0,0.299,15.47,0,0,13030,-16.565217391304348,29,3,10.299999999999999
1153,Brandon/Evansville/New Testament Christian,42,,,,,,,,,,,,0,0,,-2.0,19,8,42.1
1172,Breckenridge,43,66.7,0.0,0.0,0.0,33.3,0.0,0.0,3.0,3.0,0.0,17.65,0,0,15092,-12.384615384615385,28,5,17.9
1200,Breck,44,1.2,6.7,3.4,8.8,68.7,0.0,11.1,1120.0,484.0,,11.46,1,1,,0.0,29,10,34.5
1229,Brooklyn Center/Parnassus Prep,45,1.7,17.1,24.6,45.5,5.6,0.0,5.4,573.0,573.0,0.778,18.77,0,1,18483,-28.105263157894736,19,2,10.5
1248,Browerville,46,0.0,0.7,7.9,0.0,90.3,0.4,0.7,279.0,178.0,0.394,10.12,0,0,17574,5.565217391304348,27,14,51.9
1275,Brandon/Evansville,47,,,,,,,,,,,,0,0,,9.083333333333334,24,8,33.300000000000004
1299,Buffalo,48,0.4,1.5,4.7,1.7,88.7,0.1,2.9,1848.0,1848.0,0.129,25.8,0,0,14431,3.962962962962963,29,16,55.2
1328,Braham,49,0.0,0.3,1.9,2.2,90.0,0.3,5.3,319.0,202.0,0.185,21.45,0,0,13194,-9.608695652173912,30,8,26.700000000000003
1358,Brainerd,50,1.3,0.8,2.1,1.0,91.8,0.1,3.0,1862.0,1862.0,0.213,20.77,0,0,26114,4.785714285714286,30,18,60.0
1388,Buffalo Lake-Hector-Stewart,51,0.0,0.0,15.4,0.0,81.0,0.0,3.6,279.0,156.0,0.269,16.22,0,0,14937,-1.7272727272727273,27,8,29.599999999999998
1415,Byron,52,,,,,,,,,,,,0,0,,0.038461538461538464,28,13,46.400000000000006
1443,Burnsville,53,0.4,8.7,22.0,25.4,37.4,0.2,5.8,2126.0,2126.0,0.398,19.32,0,0,17544,-28.52,26,3,11.5
